sequence_num	token	bio_only	token_indices	upos	pos_indices	char_list	prediction
0	Stabilized	O	14801.0	PROPN	9.0	[25, 67, 26, 22, 32, 43, 32, 3, 49, 30]	B
0	approach	O	10361.0	NOUN	0.0	[26, 9, 9, 90, 13, 26, 0, 31]	O
0	or	O	414.0	CCONJ	16.0	[13, 90]	O
0	not	O	556.0	PART	15.0	[40, 13, 67]	O
0	?	O	131.0	PUNCT	8.0	[55]	O
0	That	O	1740.0	PRON	1.0	[73, 31, 26, 67]	O
0	´	O	14801.0	SYM	10.0	[92]	O
0	s	O	5354.0	PART	15.0	[69]	O
0	insane	O	14801.0	ADJ	11.0	[32, 40, 69, 26, 40, 49]	O
0	and	O	113.0	CCONJ	16.0	[26, 40, 30]	O
0	good	O	75.0	ADJ	11.0	[35, 13, 13, 30]	O
0	.	O	13.0	PUNCT	8.0	[4]	O
1	You	O	151.0	PRON	1.0	[16, 13, 50]	O
1	should	O	1018.0	AUX	2.0	[69, 31, 13, 50, 43, 30]	O
1	'	O	573.0	PUNCT	8.0	[74]	O
1	ve	O	12927.0	NOUN	0.0	[33, 49]	O
1	stayed	O	9346.0	VERB	14.0	[69, 67, 26, 79, 49, 30]	O
1	on	O	137.0	ADP	4.0	[13, 40]	O
1	Redondo	B	14801.0	PROPN	9.0	[59, 49, 30, 13, 40, 30, 13]	B
1	Beach	I	2818.0	PROPN	9.0	[68, 49, 26, 0, 31]	I
1	Blvd	I	14801.0	PROPN	9.0	[68, 43, 33, 30]	I
1	.	O	13.0	PUNCT	8.0	[4]	O
1	you	O	156.0	PRON	1.0	[79, 13, 50]	O
1	were	O	225.0	AUX	2.0	[24, 49, 90, 49]	O
1	in	O	91.0	ADP	4.0	[32, 40]	O
1	the	O	3.0	DET	3.0	[67, 31, 49]	O
1	borderlines	O	14801.0	NOUN	0.0	[22, 13, 90, 30, 49, 90, 43, 32, 40, 49, 69]	O
1	of	O	45.0	ADP	4.0	[13, 41]	O
1	Gardena	B	14801.0	PROPN	9.0	[12, 26, 90, 30, 49, 40, 26]	B
1	/	O	4761.0	PUNCT	8.0	[58]	O
1	Compton	B	14801.0	PROPN	9.0	[84, 13, 72, 9, 67, 13, 40]	I
2	All	O	405.0	DET	3.0	[21, 43, 43]	O
2	I	O	7.0	PRON	1.0	[36]	O
2	'	O	573.0	PUNCT	8.0	[74]	O
2	ve	O	12927.0	NOUN	0.0	[33, 49]	O
2	been	O	90.0	AUX	2.0	[22, 49, 49, 40]	O
2	doing	O	848.0	VERB	14.0	[30, 13, 32, 40, 35]	O
2	is	O	52.0	AUX	2.0	[32, 69]	O
2	BINGE	O	14801.0	PROPN	9.0	[68, 36, 19, 12, 28]	B
2	watching	O	65.0	VERB	14.0	[24, 26, 67, 0, 31, 32, 40, 35]	O
2	Rick	B	6773.0	PROPN	9.0	[59, 32, 0, 2]	B
2	and	I	113.0	CCONJ	16.0	[26, 40, 30]	O
2	Morty	I	14801.0	PROPN	9.0	[88, 13, 90, 67, 79]	B
2	😂	O	14801.0	SYM	10.0	[92]	O
3	wow	O	4777.0	INTJ	13.0	[24, 13, 24]	O
3	emma	B	14801.0	NOUN	0.0	[49, 72, 72, 26]	O
3	and	O	113.0	CCONJ	16.0	[26, 40, 30]	O
3	kaite	B	14801.0	NOUN	0.0	[2, 26, 32, 67, 49]	O
3	is	O	52.0	AUX	2.0	[32, 69]	O
3	so	O	79.0	ADV	5.0	[69, 13]	O
3	very	O	837.0	ADV	5.0	[33, 49, 90, 79]	O
3	cute	O	2890.0	ADJ	11.0	[0, 50, 67, 49]	O
3	and	O	113.0	CCONJ	16.0	[26, 40, 30]	O
3	so	O	79.0	ADV	5.0	[69, 13]	O
3	funny	O	1750.0	ADJ	11.0	[41, 50, 40, 40, 79]	O
3	😀	O	14801.0	SYM	10.0	[92]	O
3	😀	O	14801.0	SYM	10.0	[92]	O
3	😀	O	14801.0	SYM	10.0	[92]	O
3	😗	O	14801.0	SYM	10.0	[92]	O
3	😘	O	14801.0	SYM	10.0	[92]	O
3	i	O	216.0	PRON	1.0	[32]	O
